Day,Year,PM2.5,Predicted_PM2.5
2024-02-27,3.7574573782352467,5.27,4.863333333333333
2024-02-28,3.7574573782352467,4.05,6.453333333333333
2024-03-01,3.7574573782352467,3.73,4.228
2024-03-02,3.7574573782352467,4.32,4.228
2024-03-03,3.7574573782352467,4.32,3.6740000000000004
2024-03-04,3.7574573782352467,4.09,3.6740000000000004
2024-03-05,3.7574573782352467,3.91,5.256666666666667
2024-03-06,3.7574573782352467,3.77,3.6999999999999997
2024-03-07,3.7574573782352467,4.41,3.6399999999999997
2024-03-08,3.7574573782352467,4.0,3.5159999999999996
2024-03-09,3.7574573782352467,3.86,3.6999999999999997
2024-03-10,3.7574573782352467,3.32,3.6999999999999997
2024-03-11,3.7574573782352467,5.14,3.32375
2024-03-12,3.7574573782352467,4.5,4.4719999999999995
2024-03-13,3.7574573782352467,4.0,4.354444444444445
2024-03-14,3.7574573782352467,3.73,4.0575
2024-03-15,3.7574573782352467,3.55,3.6399999999999997
2024-03-16,3.7574573782352467,3.55,3.6399999999999997
2024-03-17,3.7574573782352467,3.68,3.6399999999999997
2024-03-18,3.7574573782352467,4.18,3.6399999999999997
2024-03-19,3.7574573782352467,4.41,4.863333333333333
2024-03-20,3.7574573782352467,4.73,4.4433333333333325
2024-03-21,3.7574573782352467,6.14,5.019444444444444
2024-03-22,3.7574573782352467,6.41,5.3775
2024-03-23,3.7574573782352467,3.59,4.56
2024-03-24,3.7574573782352467,3.59,4.236
2024-03-25,3.7574573782352467,4.0,4.236
2024-03-26,3.7574573782352467,3.5,3.486666666666667
2024-03-27,3.7574573782352467,3.41,3.32375
2024-03-28,3.7574573782352467,3.45,3.32375
2024-03-29,3.7574573782352467,3.95,3.32375
2024-03-30,3.7574573782352467,3.23,3.486666666666667
2024-03-31,3.7574573782352467,3.18,3.054
2024-04-01,3.7574573782352467,4.5,3.656
2024-04-02,3.7574573782352467,4.32,5.228
2024-04-03,3.7574573782352467,4.27,3.8633333333333333
2024-04-04,3.7574573782352467,4.0,3.8633333333333333
2024-04-05,3.7574573782352467,4.27,3.956666666666667
2024-04-06,3.7574573782352467,4.14,3.8633333333333333
2024-04-07,3.7574573782352467,3.68,3.956666666666667
2024-04-08,3.7574573782352467,3.45,3.6399999999999997
2024-04-09,3.7574573782352467,2.77,3.8075
2024-04-10,3.7574573782352467,3.5,3.1246153846153844
2024-04-11,3.7574573782352467,6.59,3.8075
2024-04-12,3.7574573782352467,4.41,5.3775
2024-04-13,3.7574573782352467,4.18,5.228
2024-04-14,3.7574573782352467,4.14,3.8633333333333333
2024-04-15,3.7574573782352467,4.0,4.3100000000000005
2024-04-16,3.7574573782352467,3.73,4.3100000000000005
2024-04-17,3.7574573782352467,3.73,3.6399999999999997
2024-04-18,3.7574573782352467,3.95,3.6399999999999997
2024-04-19,3.7574573782352467,4.77,4.3100000000000005
2024-04-20,3.7574573782352467,5.59,5.0
2024-04-21,3.7574573782352467,5.91,6.133333333333333
2024-04-22,3.7574573782352467,5.18,5.3775
2024-04-23,3.7574573782352467,4.45,6.133333333333333
2024-04-24,3.7574573782352467,3.59,5.0
2024-04-25,3.7574573782352467,2.91,4.236
2024-04-26,3.7574573782352467,3.14,2.8075
2024-04-27,3.7574573782352467,3.23,3.054
2024-04-28,3.7574573782352467,2.86,3.054
2024-04-29,3.7574573782352467,2.64,3.205
2024-04-30,3.7574573782352467,4.32,3.016666666666667
2024-05-01,3.7574573782352467,5.59,3.656
2024-05-02,3.7574573782352467,5.55,6.133333333333333
2024-05-03,3.7574573782352467,5.14,6.133333333333333
2024-05-04,3.7574573782352467,4.64,6.133333333333333
2024-05-05,3.7574573782352467,5.73,5.228
2024-05-06,3.7574573782352467,5.18,6.133333333333333
2024-05-07,3.7574573782352467,3.73,4.714285714285714
2024-05-08,3.7574573782352467,3.77,3.6399999999999997
2024-05-09,3.7574573782352467,3.32,3.6399999999999997
2024-05-10,3.7574573782352467,3.32,3.32375
2024-05-11,3.7574573782352467,3.23,3.32375
2024-05-12,3.7574573782352467,4.41,3.4733333333333327
2024-05-13,3.7574573782352467,3.41,4.4433333333333325
2024-05-14,3.7574573782352467,3.73,3.32375
2024-05-15,3.7574573782352467,5.09,3.6399999999999997
2024-05-16,3.7574573782352467,3.55,6.133333333333333
2024-05-17,3.7574573782352467,3.14,3.6399999999999997
2024-05-18,3.7574573782352467,2.95,3.054
2024-05-19,3.7574573782352467,2.68,2.2557142857142862
2024-05-20,3.7574573782352467,2.91,2.2557142857142862
2024-05-21,3.7574573782352467,2.55,2.9233333333333333
2024-05-22,3.7574573782352467,2.41,2.615
2024-05-23,3.7574573782352467,2.27,2.2464285714285714
2024-05-24,3.7574573782352467,2.09,2.2464285714285714
2024-05-25,3.7574573782352467,2.27,2.2464285714285714
2024-05-26,3.7574573782352467,1.91,2.2464285714285714
2024-05-27,3.7574573782352467,2.36,2.1559999999999997
2024-05-28,3.7574573782352467,2.68,2.3625
2024-05-29,3.7574573782352467,2.68,3.205
2024-05-30,3.7574573782352467,2.64,3.016666666666667
2024-05-31,3.7574573782352467,2.36,3.715
2024-06-01,3.7574573782352467,2.0,2.2116666666666664
2024-06-02,3.7574573782352467,1.77,2.2560000000000007
2024-06-03,3.7574573782352467,2.36,1.8839285714285716
2024-06-04,3.7574573782352467,3.05,2.2560000000000007
2024-06-05,3.7574573782352467,2.5,2.6225
2024-06-06,3.7574573782352467,2.41,2.5074999999999994
2024-06-07,3.7574573782352467,2.73,2.2560000000000007
2024-06-08,3.7574573782352467,2.86,2.5074999999999994
2024-06-09,3.7574573782352467,2.14,3.3175
2024-06-10,3.7574573782352467,1.82,2.2560000000000007
