Day,Year,Month_x,PM2.5,TempAVG
26/2/2021,2021,2,6.41,31.05
27/2/2021,2021,2,6.5,30.375
28/2/2021,2021,2,6.45,29.02173913
1/3/2021,2021,3,5.73,29.50833333
2/3/2021,2021,3,3.77,30.66666667
3/3/2021,2021,3,3.05,29.375
4/3/2021,2021,3,2.64,29.825
5/3/2021,2021,3,3.36,30.58333333
6/3/2021,2021,3,3.23,30.9
7/3/2021,2021,3,3.64,30.90416667
8/3/2021,2021,3,3.5,28.99130435
9/3/2021,2021,3,3.91,30
10/3/2021,2021,3,4.05,29.54166667
11/3/2021,2021,3,4.77,30.44166667
12/3/2021,2021,3,5.45,31.34166667
13/3/2021,2021,3,4.73,30.8875
14/3/2021,2021,3,4.27,29.7173913
15/3/2021,2021,3,4,30.06086957
16/3/2021,2021,3,3.91,30.09583333
17/3/2021,2021,3,4.23,30.44583333
18/3/2021,2021,3,4.73,31.15416667
19/3/2021,2021,3,5.5,31.0625
20/3/2021,2021,3,4.73,31.17083333
21/3/2021,2021,3,4.68,31.325
22/3/2021,2021,3,3.82,29.39583333
23/3/2021,2021,3,5.32,30.41666667
24/3/2021,2021,3,5.41,31.5625
25/3/2021,2021,3,6.36,31.2
26/3/2021,2021,3,5.41,31.14166667
27/3/2021,2021,3,3.32,31.14583333
28/3/2021,2021,3,2.82,31.825
29/3/2021,2021,3,3.23,31.67083333
30/3/2021,2021,3,3.18,31.7125
31/3/2021,2021,3,3.41,32.06666667
1/4/2021,2021,4,4.23,31.93333333
2/4/2021,2021,4,3.59,32.00416667
3/4/2021,2021,4,2.14,31.6625
4/4/2021,2021,4,2.5,28.50833333
5/4/2021,2021,4,2.68,27.76666667
6/4/2021,2021,4,4.14,28.15416667
7/4/2021,2021,4,3.91,29.44583333
8/4/2021,2021,4,4.05,30.35
9/4/2021,2021,4,3.91,30.09166667
10/4/2021,2021,4,3.36,29.92916667
11/4/2021,2021,4,4.09,28.73333333
12/4/2021,2021,4,3.86,28.99166667
13/4/2021,2021,4,3.91,30.54583333
14/4/2021,2021,4,3.18,30.48333333
15/4/2021,2021,4,2.77,30.07083333
16/4/2021,2021,4,3.36,30.80833333
17/4/2021,2021,4,3,29.97826087
18/4/2021,2021,4,2.91,28.89166667
19/4/2021,2021,4,2.77,28.61666667
20/4/2021,2021,4,2.14,30.34166667
21/4/2021,2021,4,2.32,29.89545455
22/4/2021,2021,4,2.64,31.77083333
23/4/2021,2021,4,3.77,32.2625
24/4/2021,2021,4,3.5,31.35
25/4/2021,2021,4,3.41,31.90416667
26/4/2021,2021,4,3.82,30.00833333
27/4/2021,2021,4,3.59,27.74166667
28/4/2021,2021,4,3,28.2625
29/4/2021,2021,4,3.73,27.48571429
30/4/2021,2021,4,2.82,28.47916667
1/5/2021,2021,5,3.05,28.54583333
2/5/2021,2021,5,3.18,29.26666667
3/5/2021,2021,5,3.32,29.8875
4/5/2021,2021,5,3.14,31.62083333
5/5/2021,2021,5,3.64,32.12916667
6/5/2021,2021,5,4.09,27.80833333
7/5/2021,2021,5,3.14,29.15
8/5/2021,2021,5,2.18,30.0375
9/5/2021,2021,5,3.77,29.7375
10/5/2021,2021,5,3.23,31.99583333
11/5/2021,2021,5,3.05,29.8826087
12/5/2021,2021,5,2.82,31.07391304
13/5/2021,2021,5,2.68,31.87083333
14/5/2021,2021,5,2.77,32.45909091
15/5/2021,2021,5,2.27,31.34347826
16/5/2021,2021,5,2.41,31.85416667
17/5/2021,2021,5,2.09,32.73333333
18/5/2021,2021,5,2.55,32.375
19/5/2021,2021,5,2.05,31.74347826
20/5/2021,2021,5,2.45,30.9173913
21/5/2021,2021,5,2.18,32.29583333
22/5/2021,2021,5,1.95,31.79583333
23/5/2021,2021,5,2.23,32.5
24/5/2021,2021,5,2,32.27916667
25/5/2021,2021,5,2.18,32.275
26/5/2021,2021,5,1.95,32.1
27/5/2021,2021,5,2.55,31.89583333
28/5/2021,2021,5,3,29.05416667
29/5/2021,2021,5,2.23,29.64583333
30/5/2021,2021,5,2.05,30.4375
31/5/2021,2021,5,1.64,32.02608696
1/6/2021,2021,6,2.14,32.9125
2/6/2021,2021,6,2.64,33.24583333
3/6/2021,2021,6,2.73,32.8375
4/6/2021,2021,6,2.41,33.54583333
5/6/2021,2021,6,2.5,33.1
6/6/2021,2021,6,2.55,32.71304348
7/6/2021,2021,6,2.23,31.49583333
8/6/2021,2021,6,2.05,30.14583333
9/6/2021,2021,6,2.09,29.20833333
10/6/2021,2021,6,1.59,29.90434783
11/6/2021,2021,6,1.32,30.02083333
12/6/2021,2021,6,2.32,30.89130435
13/6/2021,2021,6,3.27,28.9125
14/6/2021,2021,6,2.77,29.13043478
15/6/2021,2021,6,2.32,29.2375
16/6/2021,2021,6,2.82,29.92916667
17/6/2021,2021,6,2.09,30.39166667
18/6/2021,2021,6,2.09,31.40833333
19/6/2021,2021,6,2.27,32.325
20/6/2021,2021,6,2.27,31.55416667
21/6/2021,2021,6,2.05,31.72173913
22/6/2021,2021,6,3.36,31.82916667
23/6/2021,2021,6,4.27,31.35
24/6/2021,2021,6,3.09,31.48333333
25/6/2021,2021,6,2.09,31.37391304
26/6/2021,2021,6,3.05,30.25416667
27/6/2021,2021,6,2.45,31.6125
28/6/2021,2021,6,1.64,30.39130435
29/6/2021,2021,6,2.18,30.00416667
30/6/2021,2021,6,2.77,30
1/7/2021,2021,7,2.23,31.225
2/7/2021,2021,7,2.14,30.65833333
3/7/2021,2021,7,2,32.57083333
4/7/2021,2021,7,2.14,33.7125
5/7/2021,2021,7,1.91,33.05
6/7/2021,2021,7,1.86,31.45217391
7/7/2021,2021,7,1.95,30.55454545
8/7/2021,2021,7,1.91,29.7173913
9/7/2021,2021,7,2.32,28.4375
10/7/2021,2021,7,2.18,28.3625
11/7/2021,2021,7,2.14,27.42916667
12/7/2021,2021,7,1.55,29.97727273
13/7/2021,2021,7,1.5,30.37083333
14/7/2021,2021,7,2.45,27.9625
15/7/2021,2021,7,3.05,27.77083333
16/7/2021,2021,7,2.41,28.53043478
17/7/2021,2021,7,2.27,29.18695652
18/7/2021,2021,7,2.45,29.52916667
19/7/2021,2021,7,1.95,29.65833333
20/7/2021,2021,7,1.41,29.40869565
21/7/2021,2021,7,1.59,30.42083333
22/7/2021,2021,7,1.64,30.01666667
23/7/2021,2021,7,2.5,29.8
24/7/2021,2021,7,2.32,28.40434783
25/7/2021,2021,7,2.55,27.06666667
26/7/2021,2021,7,2,29.24583333
27/7/2021,2021,7,2.18,30.25416667
28/7/2021,2021,7,1.82,28.98333333
29/7/2021,2021,7,2.05,29.67916667
30/7/2021,2021,7,2,29.85
31/7/2021,2021,7,2.41,29.35909091
1/8/2021,2021,8,2.77,30.37083333
2/8/2021,2021,8,2.36,29.91363636
3/8/2021,2021,8,1.91,29.64583333
4/8/2021,2021,8,1.82,29.89166667
5/8/2021,2021,8,2.36,29.51666667
6/8/2021,2021,8,2.73,29.14166667
7/8/2021,2021,8,2.41,30.06956522
8/8/2021,2021,8,2.45,31.34782609
9/8/2021,2021,8,2.59,32.35833333
10/8/2021,2021,8,2.55,32.23478261
11/8/2021,2021,8,2.55,29.57083333
12/8/2021,2021,8,1.91,28.7375
13/8/2021,2021,8,1.5,29.38181818
14/8/2021,2021,8,1.68,28.06666667
15/8/2021,2021,8,1.95,28.71666667
16/8/2021,2021,8,1.68,29.77083333
17/8/2021,2021,8,1.45,30.475
18/8/2021,2021,8,2.73,32.02608696
19/8/2021,2021,8,2.45,31.39583333
20/8/2021,2021,8,2.23,30.79583333
21/8/2021,2021,8,2.77,29.1875
22/8/2021,2021,8,2.5,30.2826087
23/8/2021,2021,8,2.5,31.12608696
24/8/2021,2021,8,1.91,30.45454545
25/8/2021,2021,8,2.05,28.77083333
26/8/2021,2021,8,2.32,27.53333333
27/8/2021,2021,8,1.64,26.42173913
28/8/2021,2021,8,2.36,26.71666667
29/8/2021,2021,8,1.91,27.78695652
30/8/2021,2021,8,1.5,28.49130435
31/8/2021,2021,8,2.27,28.8375
1/9/2021,2021,9,2.77,28.10833333
2/9/2021,2021,9,2.82,28.84583333
3/9/2021,2021,9,2.05,28.99565217
4/9/2021,2021,9,1.77,29.0125
5/9/2021,2021,9,2.05,27.63913043
6/9/2021,2021,9,2.41,30.24583333
7/9/2021,2021,9,2.68,27.98695652
8/9/2021,2021,9,2.64,27.80416667
9/9/2021,2021,9,2.41,27.775
10/9/2021,2021,9,2.82,27.34166667
11/9/2021,2021,9,2,28.69583333
12/9/2021,2021,9,2.14,30.6125
13/9/2021,2021,9,2.09,31.35652174
14/9/2021,2021,9,2.05,29.92083333
15/9/2021,2021,9,2.41,28.7375
16/9/2021,2021,9,2.27,28.11818182
17/9/2021,2021,9,1.68,29.70833333
18/9/2021,2021,9,2,30.65833333
19/9/2021,2021,9,2.68,28.69166667
20/9/2021,2021,9,2.36,28.2125
21/9/2021,2021,9,2.45,26.56363636
22/9/2021,2021,9,1.5,26.9125
23/9/2021,2021,9,1.05,27.72173913
24/9/2021,2021,9,0.82,28.55833333
25/9/2021,2021,9,1.36,26.52916667
26/9/2021,2021,9,0.86,27.10869565
27/9/2021,2021,9,1.14,28.1625
28/9/2021,2021,9,1.59,29.05
29/9/2021,2021,9,3,31.51666667
30/9/2021,2021,9,4.45,29.27083333
1/10/2021,2021,10,3.59,30.5625
2/10/2021,2021,10,2.64,28.825
3/10/2021,2021,10,2.59,28.75416667
4/10/2021,2021,10,3.27,28.58333333
5/10/2021,2021,10,3.32,30.17916667
6/10/2021,2021,10,3.77,27.69166667
